timestamp,load,coolant,stft,ltft,rpm,speed,intake,maf,throttle
2026-09-09 14:38:53,68.2 %,80 °C,99.2 %,-97.7 %,1481 RPM,37 km/h,6 °C,10.76 g/s,65.9 %
2026-09-09 14:38:54,58.0 %,80 °C,99.2 %,-97.7 %,1391 RPM,33 km/h,6 °C,10.86 g/s,71.0 %
2026-09-09 14:38:56,64.3 %,80 °C,99.2 %,-97.7 %,1372 RPM,33 km/h,6 °C,8.91 g/s,74.9 %
2026-09-09 14:38:57,72.2 %,80 °C,99.2 %,-97.7 %,1370 RPM,33 km/h,6 °C,9.67 g/s,74.9 %
2026-09-09 14:38:59,68.2 %,80 °C,99.2 %,-97.7 %,1379 RPM,28 km/h,6 °C,9.69 g/s,76.9 %
2026-09-09 14:39:00,62.0 %,80 °C,99.2 %,-97.7 %,1352 RPM,28 km/h,6 °C,10.49 g/s,72.9 %
2026-09-09 14:39:02,69.4 %,80 °C,99.2 %,-97.7 %,1344 RPM,28 km/h,6 °C,10.67 g/s,67.8 %
2026-09-09 14:39:03,57.3 %,80 °C,99.2 %,-97.7 %,1419 RPM,28 km/h,6 °C,10.71 g/s,67.8 %
